claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
all-blocks-registry-presence	UNIVERSAL	*	registry-presence	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	census-cycle	23bff719c5b5c7b5fc67f274f49cf1093128641067da9d68384fee9db340ad82	INTERNAL_API
glass-break-transition	UNIVERSAL	b1.7.3:block/020	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m308-fragile-set	016e31ada167a1772c3c0ec4d610d946ddf26bc0a93c97ad494019ab72c97ce5	INTERNAL_API
glass-drop-matrix	ARCHETYPE	b1.7.3:block/020	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m308-fragile-set	016e31ada167a1772c3c0ec4d610d946ddf26bc0a93c97ad494019ab72c97ce5	INTERNAL_API
sand-tick-policy	ARCHETYPE	b1.7.3:block/012	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m342-gravity-block-set	d8653266b9cdaa16b9aa3d3fc760642400d2172380078b03499aff10394c84e8	INTERNAL_API
sand-save-reload	UNIVERSAL	b1.7.3:block/012	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m342-gravity-block-set	d8653266b9cdaa16b9aa3d3fc760642400d2172380078b03499aff10394c84e8	INTERNAL_API
gravel-tick-policy	ARCHETYPE	b1.7.3:block/013	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m342-gravity-block-set	d8653266b9cdaa16b9aa3d3fc760642400d2172380078b03499aff10394c84e8	INTERNAL_API
gravel-save-reload	UNIVERSAL	b1.7.3:block/013	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m342-gravity-block-set	d8653266b9cdaa16b9aa3d3fc760642400d2172380078b03499aff10394c84e8	INTERNAL_API
glass-light-behavior	ARCHETYPE	b1.7.3:block/020	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m364-light-opacity-set	2012aa0391268a287bc772ea5a40036b761ed9f72b90d91f8462512dbb0e3fab	INTERNAL_API
ice-light-behavior	ARCHETYPE	b1.7.3:block/079	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m364-light-opacity-set	2012aa0391268a287bc772ea5a40036b761ed9f72b90d91f8462512dbb0e3fab	INTERNAL_API
leaves-light-behavior	ARCHETYPE	b1.7.3:block/018	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m364-light-opacity-set	2012aa0391268a287bc772ea5a40036b761ed9f72b90d91f8462512dbb0e3fab	INTERNAL_API
crops-tick-policy	ARCHETYPE	b1.7.3:block/059	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m305-plant-growth	b755666b909da0bc4583bf752a32ff032894d3959b4dd0a47c56d3e80c066721	INTERNAL_API
sugar-cane-tick-policy	ARCHETYPE	b1.7.3:block/083	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m305-plant-growth	b755666b909da0bc4583bf752a32ff032894d3959b4dd0a47c56d3e80c066721	INTERNAL_API
cactus-tick-policy	ARCHETYPE	b1.7.3:block/081	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m305-plant-growth	b755666b909da0bc4583bf752a32ff032894d3959b4dd0a47c56d3e80c066721	INTERNAL_API
sponge-gameplay-placement	UNIVERSAL	b1.7.3:block/019	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m434-remaining-sponge-glass-ice	0716150d188414cd60d0bebe7aa70f27ace8a376a47f6e0a912fc026e8ab63b5	INTERNAL_API
sponge-save-reload	UNIVERSAL	b1.7.3:block/019	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m434-remaining-sponge-glass-ice	0716150d188414cd60d0bebe7aa70f27ace8a376a47f6e0a912fc026e8ab63b5	INTERNAL_API
glass-gameplay-placement	UNIVERSAL	b1.7.3:block/020	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m434-remaining-sponge-glass-ice	0716150d188414cd60d0bebe7aa70f27ace8a376a47f6e0a912fc026e8ab63b5	INTERNAL_API
glass-save-reload	UNIVERSAL	b1.7.3:block/020	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m434-remaining-sponge-glass-ice	0716150d188414cd60d0bebe7aa70f27ace8a376a47f6e0a912fc026e8ab63b5	INTERNAL_API
ice-gameplay-placement	UNIVERSAL	b1.7.3:block/079	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m434-remaining-sponge-glass-ice	0716150d188414cd60d0bebe7aa70f27ace8a376a47f6e0a912fc026e8ab63b5	INTERNAL_API
