claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
arrow-spawn	UNIVERSAL	b1.7.3:entity/010	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m157-bow-arrow	abf0244450acb0b727df9080a6ca53849fcd0ca4ce62de83a13b815d04c8f917	PUBLIC_TESTKIT
snowball-spawn	UNIVERSAL	b1.7.3:entity/011	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m161-snowball	1865bda95354d11a5a95ac4eaaf3fb8ad521e4b6195e6c651715e6955e7a149d	PUBLIC_TESTKIT
painting-spawn	UNIVERSAL	b1.7.3:entity/009	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m177-painting	05ecb02dc2be9a42ab00eeae2c8c1eaf34609b0fe89c3c60aae4774b5e0e90d4	PUBLIC_TESTKIT
painting-orientation	SINGULAR	b1.7.3:entity/009	interaction-state	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m351-painting-orient-set	8f60b715dc6a3aeab49aaae89f1f147dd7822ab37806a8da79597e86acd2e9aa	PUBLIC_TESTKIT
painting-support-loss	SINGULAR	b1.7.3:entity/009	environment-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m582-painting-support-break-set	10031f7cd4b860e20a01c8677180286b98d788c6ab5ce7d754879b484a81000d	PUBLIC_TESTKIT
tnt-spawn	UNIVERSAL	b1.7.3:entity/020	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m381-tnt-prime-set	6cf1cfe074d14a3c856cf768c9a8b9cdc9cfa573b8ee2e901445db31692bfad5	PUBLIC_TESTKIT
tnt-fuse	SINGULAR	b1.7.3:entity/020	tick-lifecycle	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m518-sw-tnt-fuse-lifecycle	f6a9810837ac1a3622784617b05e6c957344be3be5493d4b261e359f18076f1d	PUBLIC_TESTKIT
falling-sand-spawn	UNIVERSAL	b1.7.3:entity/021	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m597-falling-sand-entity-set	cc5127dcadf21010c8d1a840f832d3e1b95b803bd2b8d74dd7a5c77984a7328b	PUBLIC_TESTKIT
falling-sand-lifecycle	SINGULAR	b1.7.3:entity/021	tick-lifecycle	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m597-falling-sand-entity-set	cc5127dcadf21010c8d1a840f832d3e1b95b803bd2b8d74dd7a5c77984a7328b	PUBLIC_TESTKIT
minecart-spawn	UNIVERSAL	b1.7.3:entity/040	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m155-minecart-spawn	8bbf2ce26b50b36cdb15763b126864882c8e138b89113c1fe6dcd75988703fab	PUBLIC_TESTKIT
minecart-motion	SINGULAR	b1.7.3:entity/040	movement-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m504-m508-sw-entity-dynamics	adf4090e04b92ccc22a6adf5a7bd8892fe6ecdd4e6b8c4ba21e2f201962f71db	PUBLIC_TESTKIT
boat-spawn	UNIVERSAL	b1.7.3:entity/041	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m154-boat-spawn	5da646e53a2e386476060c80fb7c8bce2d187f93133cb6adb76ac439e48439a6	PUBLIC_TESTKIT
boat-motion	SINGULAR	b1.7.3:entity/041	movement-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m504-m508-sw-entity-dynamics	adf4090e04b92ccc22a6adf5a7bd8892fe6ecdd4e6b8c4ba21e2f201962f71db	PUBLIC_TESTKIT
creeper-spawn	UNIVERSAL	b1.7.3:entity/050	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m421-creeper-gunpowder-set	f01c7a65ddde0ddb0cd8f27f6e1c76e896f866c0bf9cc6f8af973bd1def648dc	PUBLIC_TESTKIT
creeper-death	SINGULAR	b1.7.3:entity/050	damage-death	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m421-creeper-gunpowder-set	f01c7a65ddde0ddb0cd8f27f6e1c76e896f866c0bf9cc6f8af973bd1def648dc	PUBLIC_TESTKIT
creeper-drop	SINGULAR	b1.7.3:entity/050	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m421-creeper-gunpowder-set	f01c7a65ddde0ddb0cd8f27f6e1c76e896f866c0bf9cc6f8af973bd1def648dc	PUBLIC_TESTKIT
creeper-fuse	SINGULAR	b1.7.3:entity/050	tick-lifecycle	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m391-creeper-explode-set	389f99f5639c66342a8560c23fe7e85cbe1aafc6e71530ed05c0cc7bbdbb19c0	SMOKE_ONLY
skeleton-spawn	UNIVERSAL	b1.7.3:entity/051	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m363-hostile-identity-set	e6df497cd2826b04e3930ffb08caa875bba470b29a8b5bad4ce5cc75d48db14d	PUBLIC_TESTKIT
skeleton-death	ARCHETYPE	b1.7.3:entity/051	damage-death	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m422-skeleton-bone-set	131ebd45e9b81d7f65d182b85fef0d213bda1f3d8521b4e4f403d5958aa1f0c0	PUBLIC_TESTKIT
skeleton-drop	ARCHETYPE	b1.7.3:entity/051	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m422-skeleton-bone-set	131ebd45e9b81d7f65d182b85fef0d213bda1f3d8521b4e4f403d5958aa1f0c0	PUBLIC_TESTKIT
skeleton-ranged	ARCHETYPE	b1.7.3:entity/051	interaction-state	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m445-skeleton-ranged-ai-set	c397640bf9dddee3c3b93081c4816f82f93289ba759f499d2865fad69fb5d888	SMOKE_ONLY
spider-spawn	UNIVERSAL	b1.7.3:entity/052	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m409-spider-string-set	625db8d839633b99daf0e73b098ad644d6f23e3d9ed4dda4f187687c1fe26fc4	PUBLIC_TESTKIT
spider-motion	ARCHETYPE	b1.7.3:entity/052	movement-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m447-spider-climb-set	dd9ff5fff66e6f0e70d4f4dd873aa178184ec6e7b407e99cc861cec68916f588	SMOKE_ONLY
spider-death	ARCHETYPE	b1.7.3:entity/052	damage-death	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m409-spider-string-set	625db8d839633b99daf0e73b098ad644d6f23e3d9ed4dda4f187687c1fe26fc4	PUBLIC_TESTKIT
spider-drop	ARCHETYPE	b1.7.3:entity/052	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m409-spider-string-set	625db8d839633b99daf0e73b098ad644d6f23e3d9ed4dda4f187687c1fe26fc4	PUBLIC_TESTKIT
zombie-spawn	UNIVERSAL	b1.7.3:entity/054	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m363-hostile-identity-set	e6df497cd2826b04e3930ffb08caa875bba470b29a8b5bad4ce5cc75d48db14d	SMOKE_ONLY
slime-spawn	UNIVERSAL	b1.7.3:entity/055	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m412-slime-split-set	c35f4196ac8b8633b7ffa097ac87eca1828f89b9ab9d2be20f0802c924191929	PUBLIC_TESTKIT
slime-motion	SINGULAR	b1.7.3:entity/055	movement-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m504-m508-sw-entity-dynamics	adf4090e04b92ccc22a6adf5a7bd8892fe6ecdd4e6b8c4ba21e2f201962f71db	PUBLIC_TESTKIT
slime-split	SINGULAR	b1.7.3:entity/055	interaction-state	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m412-slime-split-set	c35f4196ac8b8633b7ffa097ac87eca1828f89b9ab9d2be20f0802c924191929	PUBLIC_TESTKIT
slime-drop	SINGULAR	b1.7.3:entity/055	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m423-slimeball-set	8a525200f72521e3f129de58b27232e197c39cf2d41da689d2772e9a830ac411	PUBLIC_TESTKIT
ghast-motion	SINGULAR	b1.7.3:entity/056	movement-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m504-m508-sw-entity-dynamics	adf4090e04b92ccc22a6adf5a7bd8892fe6ecdd4e6b8c4ba21e2f201962f71db	PUBLIC_TESTKIT
pig-zombie-spawn	UNIVERSAL	b1.7.3:entity/057	spawn-materialization	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m411-zombie-pigman-set	c448868efb22d1c2a50bab9554f6c30de3f184d9cc2eb129103068be9868ae84	PUBLIC_TESTKIT
pig-zombie-death	ARCHETYPE	b1.7.3:entity/057	damage-death	APPLICABLE	VERIFIED	OFFICIAL_SERVER	m411-zombie-pigman-set	c448868efb22d1c2a50bab9554f6c30de3f184d9cc2eb129103068be9868ae84	PUBLIC_TESTKIT
