subject_id	singular	archetypes
b1.7.3:entity/001	false	object,dropped-item
b1.7.3:entity/009	true	object,hanging,support-dependent
b1.7.3:entity/010	false	object,projectile,owner-bound
b1.7.3:entity/011	false	object,projectile,owner-bound
b1.7.3:entity/020	true	object,explosive,timed
b1.7.3:entity/021	true	object,gravity,block-carrying
b1.7.3:entity/040	true	object,vehicle,rail-bound
b1.7.3:entity/041	true	object,vehicle,water-borne
b1.7.3:entity/048	false	living,base-type
b1.7.3:entity/049	false	living,hostile,base-type
b1.7.3:entity/050	true	living,hostile,explosive
b1.7.3:entity/051	false	living,hostile,ranged
b1.7.3:entity/052	false	living,hostile,climbing
b1.7.3:entity/053	true	living,hostile,giant
b1.7.3:entity/054	false	living,hostile,melee
b1.7.3:entity/055	true	living,hostile,splitting
b1.7.3:entity/056	true	living,hostile,flying,ranged
b1.7.3:entity/057	false	living,hostile,neutral-until-angered
b1.7.3:entity/090	false	living,passive,animal,rideable
b1.7.3:entity/091	false	living,passive,animal,shearable
b1.7.3:entity/092	false	living,passive,animal
b1.7.3:entity/093	false	living,passive,animal,egg-layer
b1.7.3:entity/094	false	living,passive,water-mob
b1.7.3:entity/095	true	living,animal,tameable,anger-state
