subject_id	legacy_id	name	registry_class
b1.7.3:entity/001	1	item	EntityItem
b1.7.3:entity/009	9	painting	EntityPainting
b1.7.3:entity/010	10	arrow	EntityArrow
b1.7.3:entity/011	11	snowball	EntitySnowball
b1.7.3:entity/020	20	primed-tnt	EntityTNTPrimed
b1.7.3:entity/021	21	falling-sand	EntityFallingSand
b1.7.3:entity/040	40	minecart	EntityMinecart
b1.7.3:entity/041	41	boat	EntityBoat
b1.7.3:entity/048	48	mob	EntityLiving
b1.7.3:entity/049	49	monster	EntityMob
b1.7.3:entity/050	50	creeper	EntityCreeper
b1.7.3:entity/051	51	skeleton	EntitySkeleton
b1.7.3:entity/052	52	spider	EntitySpider
b1.7.3:entity/053	53	giant	EntityGiantZombie
b1.7.3:entity/054	54	zombie	EntityZombie
b1.7.3:entity/055	55	slime	EntitySlime
b1.7.3:entity/056	56	ghast	EntityGhast
b1.7.3:entity/057	57	pig-zombie	EntityPigZombie
b1.7.3:entity/090	90	pig	EntityPig
b1.7.3:entity/091	91	sheep	EntitySheep
b1.7.3:entity/092	92	cow	EntityCow
b1.7.3:entity/093	93	chicken	EntityChicken
b1.7.3:entity/094	94	squid	EntitySquid
b1.7.3:entity/095	95	wolf	EntityWolf
