template_id	default_layer	operation	observable
registry-presence	UNIVERSAL	registry-presence	registered-id-name-and-runtime-type
spawn-materialization	UNIVERSAL	spawn-materialization	spawned-identity-position-and-wire-type
save-reload	UNIVERSAL	save-reload	persisted-entity-state
movement-policy	ARCHETYPE	movement-policy	bounded-motion-and-navigation
collision-shape	ARCHETYPE	collision-shape	collision-envelope-and-response
damage-death	ARCHETYPE	damage-death	damage-status-health-and-removal
drop-matrix	ARCHETYPE	drop-matrix	item-drops-by-cause-and-context
interaction-state	ARCHETYPE	interaction-state	player-or-entity-driven-state-transition
environment-response	ARCHETYPE	environment-response	world-condition-driven-transition
tick-lifecycle	ARCHETYPE	tick-lifecycle	timed-state-and-lifecycle-transition
native-render	ARCHETYPE	native-render	native-client-render-signature
