subject_id	singular	archetypes
b1.7.3:block/001	false	simple-solid
b1.7.3:block/002	false	simple-solid,random-tick
b1.7.3:block/003	false	simple-solid
b1.7.3:block/004	false	simple-solid
b1.7.3:block/005	false	simple-solid
b1.7.3:block/006	false	vegetation,random-tick,stateful-metadata
b1.7.3:block/007	false	simple-solid
b1.7.3:block/008	false	fluid,tick-driven
b1.7.3:block/009	false	fluid,tick-driven
b1.7.3:block/010	false	fluid,luminous,tick-driven
b1.7.3:block/011	false	fluid,luminous,tick-driven
b1.7.3:block/012	false	gravity,simple-solid
b1.7.3:block/013	false	gravity,simple-solid
b1.7.3:block/014	false	simple-solid
b1.7.3:block/015	false	simple-solid
b1.7.3:block/016	false	simple-solid
b1.7.3:block/017	false	directional,stateful-metadata,simple-solid
b1.7.3:block/018	false	vegetation,transparent-solid,random-tick
b1.7.3:block/019	true	sponge,fluid-reactive
b1.7.3:block/020	false	transparent-solid
b1.7.3:block/021	false	simple-solid
b1.7.3:block/022	false	simple-solid
b1.7.3:block/023	true	dispenser,container,directional,tile-entity
b1.7.3:block/024	false	simple-solid
b1.7.3:block/025	true	note-block,tile-entity,redstone-component
b1.7.3:block/026	true	bed,directional,multi-block,special-collision,stateful-metadata,support-dependent
b1.7.3:block/027	false	rail,redstone-component,stateful-metadata
b1.7.3:block/028	false	rail,redstone-component,stateful-metadata
b1.7.3:block/029	true	piston,redstone-component,directional,stateful-metadata
b1.7.3:block/030	false	transparent-solid,special-collision
b1.7.3:block/031	false	vegetation,support-dependent,stateful-metadata
b1.7.3:block/032	false	vegetation,support-dependent
b1.7.3:block/033	true	piston,redstone-component,directional,stateful-metadata
b1.7.3:block/034	true	piston,directional,stateful-metadata
b1.7.3:block/035	false	stateful-metadata,simple-solid
b1.7.3:block/036	true	piston,stateful-metadata,tile-entity
b1.7.3:block/037	false	vegetation,support-dependent
b1.7.3:block/038	false	vegetation,support-dependent
b1.7.3:block/039	false	vegetation,support-dependent,random-tick
b1.7.3:block/040	false	vegetation,support-dependent,random-tick
b1.7.3:block/041	false	simple-solid
b1.7.3:block/042	false	simple-solid
b1.7.3:block/043	false	stateful-metadata,simple-solid
b1.7.3:block/044	false	stateful-metadata,special-collision
b1.7.3:block/045	false	simple-solid
b1.7.3:block/046	true	tnt,redstone-component
b1.7.3:block/047	false	simple-solid
b1.7.3:block/048	false	simple-solid
b1.7.3:block/049	false	simple-solid
b1.7.3:block/050	false	support-dependent,luminous,directional
b1.7.3:block/051	true	fire,luminous,random-tick,special-collision,support-dependent,tick-driven
b1.7.3:block/052	true	mob-spawner,tick-driven,tile-entity
b1.7.3:block/053	false	directional,special-collision
b1.7.3:block/054	true	chest,container,multi-block,directional,tile-entity
b1.7.3:block/055	false	redstone-component,stateful-metadata,support-dependent
b1.7.3:block/056	false	simple-solid
b1.7.3:block/057	false	simple-solid
b1.7.3:block/058	false	interactive,simple-solid
b1.7.3:block/059	false	crop,random-tick,stateful-metadata
b1.7.3:block/060	false	farmland,random-tick,special-collision,stateful-metadata,tick-driven
b1.7.3:block/061	true	furnace,container,directional,tile-entity,stateful-metadata
b1.7.3:block/062	true	furnace,container,directional,tile-entity,luminous
b1.7.3:block/063	false	sign,support-dependent,directional,tile-entity
b1.7.3:block/064	true	door,multi-block,directional,redstone-component,stateful-metadata
b1.7.3:block/065	false	support-dependent,directional,special-collision
b1.7.3:block/066	false	rail,stateful-metadata
b1.7.3:block/067	false	directional,special-collision
b1.7.3:block/068	false	sign,support-dependent,directional,tile-entity
b1.7.3:block/069	false	redstone-component,support-dependent,directional,stateful-metadata
b1.7.3:block/070	false	redstone-component,support-dependent,stateful-metadata
b1.7.3:block/071	true	directional,door,multi-block,redstone-component,special-collision,stateful-metadata,support-dependent
b1.7.3:block/072	false	redstone-component,support-dependent,stateful-metadata
b1.7.3:block/073	false	redstone-component,stateful-metadata,simple-solid
b1.7.3:block/074	false	redstone-component,stateful-metadata,luminous
b1.7.3:block/075	false	redstone-component,support-dependent,luminous,stateful-metadata
b1.7.3:block/076	false	redstone-component,support-dependent,luminous,stateful-metadata
b1.7.3:block/077	false	redstone-component,support-dependent,directional,stateful-metadata
b1.7.3:block/078	false	support-dependent,stateful-metadata,special-collision
b1.7.3:block/079	false	transparent-solid,fluid-reactive,tick-driven
b1.7.3:block/080	false	simple-solid,random-tick
b1.7.3:block/081	false	vegetation,random-tick,special-collision
b1.7.3:block/082	false	simple-solid
b1.7.3:block/083	false	vegetation,random-tick,support-dependent
b1.7.3:block/084	true	jukebox,tile-entity,stateful-metadata
b1.7.3:block/085	false	special-collision
b1.7.3:block/086	false	directional,stateful-metadata,simple-solid
b1.7.3:block/087	false	simple-solid
b1.7.3:block/088	false	special-collision,simple-solid
b1.7.3:block/089	false	luminous,transparent-solid
b1.7.3:block/090	true	portal,transparent-solid,tick-driven
b1.7.3:block/091	false	luminous,directional,simple-solid
b1.7.3:block/092	true	cake,stateful-metadata,special-collision
b1.7.3:block/093	false	redstone-component,directional,stateful-metadata,support-dependent
b1.7.3:block/094	false	redstone-component,directional,stateful-metadata,support-dependent
b1.7.3:block/095	true	locked-chest,luminous,random-tick,simple-solid
b1.7.3:block/096	false	redstone-component,directional,stateful-metadata,special-collision
