subject_id	legacy_id	name	registry_class
b1.7.3:block/001	1	stone	BlockStone
b1.7.3:block/002	2	grass	BlockGrass
b1.7.3:block/003	3	dirt	BlockDirt
b1.7.3:block/004	4	cobblestone	Block
b1.7.3:block/005	5	wood-planks	Block
b1.7.3:block/006	6	sapling	BlockSapling
b1.7.3:block/007	7	bedrock	Block
b1.7.3:block/008	8	flowing-water	BlockFlowing
b1.7.3:block/009	9	still-water	BlockStationary
b1.7.3:block/010	10	flowing-lava	BlockFlowing
b1.7.3:block/011	11	still-lava	BlockStationary
b1.7.3:block/012	12	sand	BlockSand
b1.7.3:block/013	13	gravel	BlockGravel
b1.7.3:block/014	14	gold-ore	BlockOre
b1.7.3:block/015	15	iron-ore	BlockOre
b1.7.3:block/016	16	coal-ore	BlockOre
b1.7.3:block/017	17	log	BlockLog
b1.7.3:block/018	18	leaves	BlockLeaves
b1.7.3:block/019	19	sponge	BlockSponge
b1.7.3:block/020	20	glass	BlockGlass
b1.7.3:block/021	21	lapis-ore	BlockOre
b1.7.3:block/022	22	lapis-block	Block
b1.7.3:block/023	23	dispenser	BlockDispenser
b1.7.3:block/024	24	sandstone	BlockSandStone
b1.7.3:block/025	25	note-block	BlockNote
b1.7.3:block/026	26	bed	BlockBed
b1.7.3:block/027	27	powered-rail	BlockRail
b1.7.3:block/028	28	detector-rail	BlockDetectorRail
b1.7.3:block/029	29	sticky-piston	BlockPistonBase
b1.7.3:block/030	30	cobweb	BlockWeb
b1.7.3:block/031	31	tall-grass	BlockTallGrass
b1.7.3:block/032	32	dead-bush	BlockDeadBush
b1.7.3:block/033	33	piston	BlockPistonBase
b1.7.3:block/034	34	piston-head	BlockPistonExtension
b1.7.3:block/035	35	wool	BlockCloth
b1.7.3:block/036	36	moving-piston	BlockPistonMoving
b1.7.3:block/037	37	dandelion	BlockFlower
b1.7.3:block/038	38	rose	BlockFlower
b1.7.3:block/039	39	brown-mushroom	BlockMushroom
b1.7.3:block/040	40	red-mushroom	BlockMushroom
b1.7.3:block/041	41	gold-block	BlockOreStorage
b1.7.3:block/042	42	iron-block	BlockOreStorage
b1.7.3:block/043	43	double-slab	BlockStep
b1.7.3:block/044	44	slab	BlockStep
b1.7.3:block/045	45	bricks	Block
b1.7.3:block/046	46	tnt	BlockTNT
b1.7.3:block/047	47	bookshelf	BlockBookshelf
b1.7.3:block/048	48	mossy-cobblestone	Block
b1.7.3:block/049	49	obsidian	BlockObsidian
b1.7.3:block/050	50	torch	BlockTorch
b1.7.3:block/051	51	fire	BlockFire
b1.7.3:block/052	52	mob-spawner	BlockMobSpawner
b1.7.3:block/053	53	wood-stairs	BlockStairs
b1.7.3:block/054	54	chest	BlockChest
b1.7.3:block/055	55	redstone-wire	BlockRedstoneWire
b1.7.3:block/056	56	diamond-ore	BlockOre
b1.7.3:block/057	57	diamond-block	BlockOreStorage
b1.7.3:block/058	58	crafting-table	BlockWorkbench
b1.7.3:block/059	59	crops	BlockCrops
b1.7.3:block/060	60	farmland	BlockFarmland
b1.7.3:block/061	61	furnace	BlockFurnace
b1.7.3:block/062	62	lit-furnace	BlockFurnace
b1.7.3:block/063	63	standing-sign	BlockSign
b1.7.3:block/064	64	wooden-door	BlockDoor
b1.7.3:block/065	65	ladder	BlockLadder
b1.7.3:block/066	66	rail	BlockRail
b1.7.3:block/067	67	cobblestone-stairs	BlockStairs
b1.7.3:block/068	68	wall-sign	BlockSign
b1.7.3:block/069	69	lever	BlockLever
b1.7.3:block/070	70	stone-pressure-plate	BlockPressurePlate
b1.7.3:block/071	71	iron-door	BlockDoor
b1.7.3:block/072	72	wooden-pressure-plate	BlockPressurePlate
b1.7.3:block/073	73	redstone-ore	BlockRedstoneOre
b1.7.3:block/074	74	glowing-redstone-ore	BlockRedstoneOre
b1.7.3:block/075	75	redstone-torch-off	BlockRedstoneTorch
b1.7.3:block/076	76	redstone-torch-on	BlockRedstoneTorch
b1.7.3:block/077	77	stone-button	BlockButton
b1.7.3:block/078	78	snow-layer	BlockSnow
b1.7.3:block/079	79	ice	BlockIce
b1.7.3:block/080	80	snow-block	BlockSnowBlock
b1.7.3:block/081	81	cactus	BlockCactus
b1.7.3:block/082	82	clay	BlockClay
b1.7.3:block/083	83	sugar-cane	BlockReed
b1.7.3:block/084	84	jukebox	BlockJukeBox
b1.7.3:block/085	85	fence	BlockFence
b1.7.3:block/086	86	pumpkin	BlockPumpkin
b1.7.3:block/087	87	netherrack	BlockNetherrack
b1.7.3:block/088	88	soul-sand	BlockSoulSand
b1.7.3:block/089	89	glowstone	BlockGlowStone
b1.7.3:block/090	90	portal	BlockPortal
b1.7.3:block/091	91	jack-o-lantern	BlockPumpkin
b1.7.3:block/092	92	cake	BlockCake
b1.7.3:block/093	93	repeater-off	BlockRedstoneRepeater
b1.7.3:block/094	94	repeater-on	BlockRedstoneRepeater
b1.7.3:block/095	95	locked-chest	BlockLockedChest
b1.7.3:block/096	96	trapdoor	BlockTrapDoor
