template_id	default_layer	operation	observable
registry-presence	UNIVERSAL	registry-presence	registered-id-and-runtime-type
state-domain	ARCHETYPE	state-domain	reachable-metadata-states
gameplay-placement	UNIVERSAL	gameplay-placement	placed-state-and-consumption
break-transition	UNIVERSAL	break-transition	removed-state-and-tool-effect
drop-matrix	ARCHETYPE	drop-matrix	item-drops-by-tool-and-context
save-reload	UNIVERSAL	save-reload	persisted-block-state
collision-shape	ARCHETYPE	collision-shape	collision-and-selection-bounds
light-behavior	ARCHETYPE	light-behavior	opacity-emission-and-propagation
tick-policy	ARCHETYPE	tick-policy	scheduled-random-tick-effects
neighbor-response	ARCHETYPE	neighbor-response	neighbor-update-transition
native-render	ARCHETYPE	native-render	native-client-render-signature
