subject_id	template_id	fixture	binding	evidence_id
b1.7.3:block/001	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/002	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/003	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/004	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/005	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/006	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/007	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/008	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/009	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/010	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/011	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/012	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/013	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/014	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/015	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
b1.7.3:block/016	registry-presence	universal-block-and-entity-registry-census	worldline.testapi.BlockRegistryFixture#execute	census-cycle
