claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
stone-state-domain	ARCHETYPE	b1.7.3:block/001	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
stone-light-behavior	ARCHETYPE	b1.7.3:block/001	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
log-state-domain	ARCHETYPE	b1.7.3:block/017	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
log-collision-shape	ARCHETYPE	b1.7.3:block/017	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
log-light-behavior	ARCHETYPE	b1.7.3:block/017	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
log-tick-policy	ARCHETYPE	b1.7.3:block/017	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
log-neighbor-response	ARCHETYPE	b1.7.3:block/017	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
glass-state-domain	ARCHETYPE	b1.7.3:block/020	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
glass-collision-shape	ARCHETYPE	b1.7.3:block/020	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
glass-tick-policy	ARCHETYPE	b1.7.3:block/020	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
glass-neighbor-response	ARCHETYPE	b1.7.3:block/020	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
cobweb-tick-policy	ARCHETYPE	b1.7.3:block/030	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
cobweb-neighbor-response	ARCHETYPE	b1.7.3:block/030	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
double-slab-tick-policy	ARCHETYPE	b1.7.3:block/043	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
double-slab-neighbor-response	ARCHETYPE	b1.7.3:block/043	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
slab-state-domain	ARCHETYPE	b1.7.3:block/044	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
slab-light-behavior	ARCHETYPE	b1.7.3:block/044	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
slab-tick-policy	ARCHETYPE	b1.7.3:block/044	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
slab-neighbor-response	ARCHETYPE	b1.7.3:block/044	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
wood-stairs-light-behavior	ARCHETYPE	b1.7.3:block/053	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
wood-stairs-tick-policy	ARCHETYPE	b1.7.3:block/053	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-built-environment-materials-subsystem-conformance-cycle	1b8deda0d057f22b68f79f92bcf139bcb7dc1ed1fcf7e194a4e88d27c2dfc6e0	PUBLIC_TESTKIT
