claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
dirt-state-domain	ARCHETYPE	b1.7.3:block/003	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
dirt-collision-shape	ARCHETYPE	b1.7.3:block/003	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
dirt-light-behavior	ARCHETYPE	b1.7.3:block/003	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
wood-planks-state-domain	ARCHETYPE	b1.7.3:block/005	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
wood-planks-collision-shape	ARCHETYPE	b1.7.3:block/005	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
wood-planks-light-behavior	ARCHETYPE	b1.7.3:block/005	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
sandstone-state-domain	ARCHETYPE	b1.7.3:block/024	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
sandstone-collision-shape	ARCHETYPE	b1.7.3:block/024	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
sandstone-light-behavior	ARCHETYPE	b1.7.3:block/024	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
bookshelf-state-domain	ARCHETYPE	b1.7.3:block/047	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
bookshelf-collision-shape	ARCHETYPE	b1.7.3:block/047	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
bookshelf-light-behavior	ARCHETYPE	b1.7.3:block/047	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
crafting-table-state-domain	ARCHETYPE	b1.7.3:block/058	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
crafting-table-collision-shape	ARCHETYPE	b1.7.3:block/058	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
crafting-table-light-behavior	ARCHETYPE	b1.7.3:block/058	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-common-cube-physical-envelope-cycle	5a78cbbc3567edacd492dbc1a8bfad10459b99fce8ed5118af838b9818a08258	PUBLIC_TESTKIT
