claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
item-collision-shape	ARCHETYPE	b1.7.3:entity/001	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
painting-collision-shape	SINGULAR	b1.7.3:entity/009	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
arrow-collision-shape	ARCHETYPE	b1.7.3:entity/010	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
snowball-collision-shape	ARCHETYPE	b1.7.3:entity/011	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
primed-tnt-collision-shape	SINGULAR	b1.7.3:entity/020	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
falling-sand-collision-shape	SINGULAR	b1.7.3:entity/021	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
minecart-collision-shape	SINGULAR	b1.7.3:entity/040	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
boat-collision-shape	SINGULAR	b1.7.3:entity/041	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
monster-collision-shape	ARCHETYPE	b1.7.3:entity/049	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
creeper-collision-shape	SINGULAR	b1.7.3:entity/050	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
skeleton-collision-shape	ARCHETYPE	b1.7.3:entity/051	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
spider-collision-shape	ARCHETYPE	b1.7.3:entity/052	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
giant-collision-shape	SINGULAR	b1.7.3:entity/053	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
zombie-collision-shape	ARCHETYPE	b1.7.3:entity/054	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
slime-collision-shape	SINGULAR	b1.7.3:entity/055	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
ghast-collision-shape	SINGULAR	b1.7.3:entity/056	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
pig-zombie-collision-shape	ARCHETYPE	b1.7.3:entity/057	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
pig-collision-shape	ARCHETYPE	b1.7.3:entity/090	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
sheep-collision-shape	ARCHETYPE	b1.7.3:entity/091	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
cow-collision-shape	ARCHETYPE	b1.7.3:entity/092	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
chicken-collision-shape	ARCHETYPE	b1.7.3:entity/093	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
squid-collision-shape	ARCHETYPE	b1.7.3:entity/094	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
wolf-collision-shape	SINGULAR	b1.7.3:entity/095	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_CLIENT	b173-entity-physical-envelope-cycle	f0eb393236dd24a42a16a2bdfb5a7cd44b5c8304e40599fe894f8d7fe71fb7dd	PUBLIC_TESTKIT
