claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
flowing-water-gameplay-placement	UNIVERSAL	b1.7.3:block/008	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
flowing-water-break-transition	UNIVERSAL	b1.7.3:block/008	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
flowing-water-drop-matrix	ARCHETYPE	b1.7.3:block/008	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
still-water-break-transition	UNIVERSAL	b1.7.3:block/009	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
still-water-drop-matrix	ARCHETYPE	b1.7.3:block/009	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
flowing-lava-state-domain	ARCHETYPE	b1.7.3:block/010	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
flowing-lava-gameplay-placement	UNIVERSAL	b1.7.3:block/010	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
flowing-lava-break-transition	UNIVERSAL	b1.7.3:block/010	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
flowing-lava-drop-matrix	ARCHETYPE	b1.7.3:block/010	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
still-lava-break-transition	UNIVERSAL	b1.7.3:block/011	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
still-lava-drop-matrix	ARCHETYPE	b1.7.3:block/011	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
sponge-tick-policy	SINGULAR	b1.7.3:block/019	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
sponge-neighbor-response	SINGULAR	b1.7.3:block/019	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
snow-layer-tick-policy	ARCHETYPE	b1.7.3:block/078	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
snow-layer-neighbor-response	ARCHETYPE	b1.7.3:block/078	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
ice-state-domain	ARCHETYPE	b1.7.3:block/079	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
ice-break-transition	UNIVERSAL	b1.7.3:block/079	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
ice-drop-matrix	ARCHETYPE	b1.7.3:block/079	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
ice-collision-shape	ARCHETYPE	b1.7.3:block/079	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
ice-neighbor-response	ARCHETYPE	b1.7.3:block/079	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
snow-block-tick-policy	ARCHETYPE	b1.7.3:block/080	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-fluid-frozen-matter-lifecycle-conformance-cycle	8000df9fba5c971bba329c278687510456064cba2dced8f9e4c2e1b552a89d97	PUBLIC_TESTKIT
