claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
dandelion-state-domain	ARCHETYPE	b1.7.3:block/037	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dandelion-collision-shape	ARCHETYPE	b1.7.3:block/037	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dandelion-light-behavior	ARCHETYPE	b1.7.3:block/037	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dandelion-tick-policy	ARCHETYPE	b1.7.3:block/037	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dandelion-neighbor-response	ARCHETYPE	b1.7.3:block/037	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
rose-state-domain	ARCHETYPE	b1.7.3:block/038	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
rose-collision-shape	ARCHETYPE	b1.7.3:block/038	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
rose-light-behavior	ARCHETYPE	b1.7.3:block/038	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
rose-tick-policy	ARCHETYPE	b1.7.3:block/038	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
rose-neighbor-response	ARCHETYPE	b1.7.3:block/038	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
tall-grass-collision-shape	ARCHETYPE	b1.7.3:block/031	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
tall-grass-light-behavior	ARCHETYPE	b1.7.3:block/031	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
tall-grass-tick-policy	ARCHETYPE	b1.7.3:block/031	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
tall-grass-neighbor-response	ARCHETYPE	b1.7.3:block/031	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dead-bush-state-domain	ARCHETYPE	b1.7.3:block/032	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dead-bush-collision-shape	ARCHETYPE	b1.7.3:block/032	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dead-bush-light-behavior	ARCHETYPE	b1.7.3:block/032	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dead-bush-tick-policy	ARCHETYPE	b1.7.3:block/032	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
dead-bush-neighbor-response	ARCHETYPE	b1.7.3:block/032	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-ground-flora-conformance-cycle	30842230f6bf54ee567f079462ebc2833718be060a57571b4f22aa14c7026420	PUBLIC_TESTKIT
