claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
brown-mushroom-state-domain	ARCHETYPE	b1.7.3:block/039	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
brown-mushroom-collision-shape	ARCHETYPE	b1.7.3:block/039	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
brown-mushroom-light-behavior	ARCHETYPE	b1.7.3:block/039	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
brown-mushroom-tick-policy	ARCHETYPE	b1.7.3:block/039	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
brown-mushroom-neighbor-response	ARCHETYPE	b1.7.3:block/039	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
red-mushroom-state-domain	ARCHETYPE	b1.7.3:block/040	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
red-mushroom-collision-shape	ARCHETYPE	b1.7.3:block/040	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
red-mushroom-light-behavior	ARCHETYPE	b1.7.3:block/040	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
red-mushroom-tick-policy	ARCHETYPE	b1.7.3:block/040	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
red-mushroom-neighbor-response	ARCHETYPE	b1.7.3:block/040	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-mushroom-random-tick-conformance-cycle	75e80ab5791750c693ca0225abff54a60d6724fc0cc4d1982ed5477f4180c37d	PUBLIC_TESTKIT
