subject_id	legacy_id	name	metadata	render_type
b1.7.3:block/006	6	sapling	0	1
b1.7.3:block/008	8	flowing-water	0	4
b1.7.3:block/009	9	still-water	0	4
b1.7.3:block/010	10	flowing-lava	0	4
b1.7.3:block/011	11	still-lava	0	4
b1.7.3:block/026	26	bed	0	14
b1.7.3:block/027	27	powered-rail	0	9
b1.7.3:block/028	28	detector-rail	0	9
b1.7.3:block/030	30	cobweb	0	1
b1.7.3:block/031	31	tall-grass	0	1
b1.7.3:block/032	32	dead-bush	0	1
b1.7.3:block/034	34	piston-head	0	17
b1.7.3:block/037	37	dandelion	0	1
b1.7.3:block/038	38	rose	0	1
b1.7.3:block/039	39	brown-mushroom	0	1
b1.7.3:block/040	40	red-mushroom	0	1
b1.7.3:block/050	50	torch	0	2
b1.7.3:block/051	51	fire	0	3
b1.7.3:block/055	55	redstone-wire	0	5
b1.7.3:block/059	59	crops	0	6
b1.7.3:block/064	64	wooden-door	0	7
b1.7.3:block/065	65	ladder	2	8
b1.7.3:block/066	66	rail	0	9
b1.7.3:block/069	69	lever	0	12
b1.7.3:block/071	71	iron-door	0	7
b1.7.3:block/075	75	redstone-torch-off	0	2
b1.7.3:block/076	76	redstone-torch-on	0	2
b1.7.3:block/083	83	sugar-cane	0	1
b1.7.3:block/093	93	repeater-off	0	15
b1.7.3:block/094	94	repeater-on	0	15
