claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
chest-tick-policy	SINGULAR	b1.7.3:block/054	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
chest-neighbor-response	SINGULAR	b1.7.3:block/054	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
wooden-door-collision-shape	SINGULAR	b1.7.3:block/064	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
wooden-door-light-behavior	SINGULAR	b1.7.3:block/064	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
wooden-door-tick-policy	SINGULAR	b1.7.3:block/064	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
trapdoor-state-domain	ARCHETYPE	b1.7.3:block/096	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
trapdoor-collision-shape	ARCHETYPE	b1.7.3:block/096	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
trapdoor-light-behavior	ARCHETYPE	b1.7.3:block/096	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
trapdoor-tick-policy	ARCHETYPE	b1.7.3:block/096	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
trapdoor-neighbor-response	ARCHETYPE	b1.7.3:block/096	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-openable-access-structures-conformance-cycle	3e9f96813a3277ebba3a65e745054d42b88d27d15440db4cc158d743598aebbd	PUBLIC_TESTKIT
