claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
sticky-piston-state-domain	SINGULAR	b1.7.3:block/029	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
sticky-piston-collision-shape	SINGULAR	b1.7.3:block/029	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
sticky-piston-light-behavior	SINGULAR	b1.7.3:block/029	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
sticky-piston-tick-policy	SINGULAR	b1.7.3:block/029	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
sticky-piston-neighbor-response	SINGULAR	b1.7.3:block/029	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-state-domain	SINGULAR	b1.7.3:block/033	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-collision-shape	SINGULAR	b1.7.3:block/033	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-light-behavior	SINGULAR	b1.7.3:block/033	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-tick-policy	SINGULAR	b1.7.3:block/033	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-neighbor-response	SINGULAR	b1.7.3:block/033	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-state-domain	SINGULAR	b1.7.3:block/034	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-gameplay-placement	UNIVERSAL	b1.7.3:block/034	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-break-transition	UNIVERSAL	b1.7.3:block/034	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-drop-matrix	SINGULAR	b1.7.3:block/034	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-save-reload	UNIVERSAL	b1.7.3:block/034	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-collision-shape	SINGULAR	b1.7.3:block/034	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-light-behavior	SINGULAR	b1.7.3:block/034	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-tick-policy	SINGULAR	b1.7.3:block/034	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
piston-head-neighbor-response	SINGULAR	b1.7.3:block/034	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-state-domain	SINGULAR	b1.7.3:block/036	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-gameplay-placement	UNIVERSAL	b1.7.3:block/036	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-break-transition	UNIVERSAL	b1.7.3:block/036	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-drop-matrix	SINGULAR	b1.7.3:block/036	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-save-reload	UNIVERSAL	b1.7.3:block/036	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-collision-shape	SINGULAR	b1.7.3:block/036	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-light-behavior	SINGULAR	b1.7.3:block/036	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
moving-piston-tick-policy	SINGULAR	b1.7.3:block/036	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-piston-subsystem-conformance-cycle	c34a64fb2c039ec058d06c9b87f7ce5dac63cd155052b556c82b99c7380c124e	PUBLIC_TESTKIT
