claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
powered-rail-state-domain	ARCHETYPE	b1.7.3:block/027	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
powered-rail-collision-shape	ARCHETYPE	b1.7.3:block/027	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
powered-rail-light-behavior	ARCHETYPE	b1.7.3:block/027	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
powered-rail-tick-policy	ARCHETYPE	b1.7.3:block/027	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
detector-rail-state-domain	ARCHETYPE	b1.7.3:block/028	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
detector-rail-collision-shape	ARCHETYPE	b1.7.3:block/028	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
detector-rail-light-behavior	ARCHETYPE	b1.7.3:block/028	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
detector-rail-tick-policy	ARCHETYPE	b1.7.3:block/028	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
detector-rail-neighbor-response	ARCHETYPE	b1.7.3:block/028	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
normal-rail-state-domain	ARCHETYPE	b1.7.3:block/066	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
normal-rail-collision-shape	ARCHETYPE	b1.7.3:block/066	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
normal-rail-light-behavior	ARCHETYPE	b1.7.3:block/066	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
normal-rail-tick-policy	ARCHETYPE	b1.7.3:block/066	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
normal-rail-neighbor-response	ARCHETYPE	b1.7.3:block/066	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-rail-network-subsystem-conformance-cycle	5e3d3164fd4a0ed33c6d628f7ac267dc19e3a35740acce3054607ca8de10666c	PUBLIC_TESTKIT
