claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
lever-state-domain	ARCHETYPE	b1.7.3:block/069	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
lever-collision-shape	ARCHETYPE	b1.7.3:block/069	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
lever-light-behavior	ARCHETYPE	b1.7.3:block/069	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
lever-tick-policy	ARCHETYPE	b1.7.3:block/069	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
lever-neighbor-response	ARCHETYPE	b1.7.3:block/069	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-pressure-plate-state-domain	ARCHETYPE	b1.7.3:block/070	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-pressure-plate-collision-shape	ARCHETYPE	b1.7.3:block/070	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-pressure-plate-light-behavior	ARCHETYPE	b1.7.3:block/070	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-pressure-plate-tick-policy	ARCHETYPE	b1.7.3:block/070	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-pressure-plate-neighbor-response	ARCHETYPE	b1.7.3:block/070	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
wooden-pressure-plate-state-domain	ARCHETYPE	b1.7.3:block/072	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
wooden-pressure-plate-collision-shape	ARCHETYPE	b1.7.3:block/072	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
wooden-pressure-plate-light-behavior	ARCHETYPE	b1.7.3:block/072	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
wooden-pressure-plate-tick-policy	ARCHETYPE	b1.7.3:block/072	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
wooden-pressure-plate-neighbor-response	ARCHETYPE	b1.7.3:block/072	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-button-state-domain	ARCHETYPE	b1.7.3:block/077	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-button-collision-shape	ARCHETYPE	b1.7.3:block/077	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-button-light-behavior	ARCHETYPE	b1.7.3:block/077	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-button-tick-policy	ARCHETYPE	b1.7.3:block/077	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
stone-button-neighbor-response	ARCHETYPE	b1.7.3:block/077	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-input-controls-subsystem-conformance-cycle	273182979913a3ae4281a7301f39e63fe7dc822c0444df8be30fa245e34afe7b	PUBLIC_TESTKIT
