claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
redstone-ore-state-domain	ARCHETYPE	b1.7.3:block/073	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
redstone-ore-collision-shape	ARCHETYPE	b1.7.3:block/073	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
redstone-ore-light-behavior	ARCHETYPE	b1.7.3:block/073	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
redstone-ore-neighbor-response	ARCHETYPE	b1.7.3:block/073	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-state-domain	ARCHETYPE	b1.7.3:block/074	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-gameplay-placement	UNIVERSAL	b1.7.3:block/074	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-break-transition	UNIVERSAL	b1.7.3:block/074	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-drop-matrix	ARCHETYPE	b1.7.3:block/074	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-save-reload	UNIVERSAL	b1.7.3:block/074	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-collision-shape	ARCHETYPE	b1.7.3:block/074	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-light-behavior	ARCHETYPE	b1.7.3:block/074	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-tick-policy	ARCHETYPE	b1.7.3:block/074	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
glowing-redstone-ore-neighbor-response	ARCHETYPE	b1.7.3:block/074	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-ore-subsystem-conformance-cycle	f3520bbd8dfa2735748b7a21b8ed9c2d6015710042202f4e0091eb154621deb9	PUBLIC_TESTKIT
