claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
dispenser-tick-policy	ARCHETYPE	b1.7.3:block/023	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
dispenser-neighbor-response	ARCHETYPE	b1.7.3:block/023	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
note-block-tick-policy	ARCHETYPE	b1.7.3:block/025	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
note-block-neighbor-response	ARCHETYPE	b1.7.3:block/025	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
tnt-state-domain	ARCHETYPE	b1.7.3:block/046	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
tnt-collision-shape	ARCHETYPE	b1.7.3:block/046	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
tnt-light-behavior	ARCHETYPE	b1.7.3:block/046	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
tnt-tick-policy	ARCHETYPE	b1.7.3:block/046	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
tnt-neighbor-response	ARCHETYPE	b1.7.3:block/046	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
torch-tick-policy	ARCHETYPE	b1.7.3:block/050	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
redstone-wire-state-domain	ARCHETYPE	b1.7.3:block/055	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
redstone-wire-collision-shape	ARCHETYPE	b1.7.3:block/055	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
redstone-wire-light-behavior	ARCHETYPE	b1.7.3:block/055	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
redstone-wire-tick-policy	ARCHETYPE	b1.7.3:block/055	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
redstone-wire-neighbor-response	ARCHETYPE	b1.7.3:block/055	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
jukebox-state-domain	ARCHETYPE	b1.7.3:block/084	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
jukebox-tick-policy	ARCHETYPE	b1.7.3:block/084	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
jukebox-neighbor-response	ARCHETYPE	b1.7.3:block/084	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-signal-consumers-subsystem-conformance-cycle	8a2b1947b14e0f5b7fcee755cf14693f3a0bc87b19fe301389543def34a0d2f8	PUBLIC_TESTKIT
