claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
redstone-torch-off-state-domain	ARCHETYPE	b1.7.3:block/075	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-gameplay-placement	UNIVERSAL	b1.7.3:block/075	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-break-transition	UNIVERSAL	b1.7.3:block/075	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-drop-matrix	ARCHETYPE	b1.7.3:block/075	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-save-reload	UNIVERSAL	b1.7.3:block/075	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-collision-shape	ARCHETYPE	b1.7.3:block/075	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-light-behavior	ARCHETYPE	b1.7.3:block/075	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-tick-policy	ARCHETYPE	b1.7.3:block/075	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-off-neighbor-response	ARCHETYPE	b1.7.3:block/075	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-on-state-domain	ARCHETYPE	b1.7.3:block/076	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-on-collision-shape	ARCHETYPE	b1.7.3:block/076	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-on-tick-policy	ARCHETYPE	b1.7.3:block/076	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
redstone-torch-on-neighbor-response	ARCHETYPE	b1.7.3:block/076	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-redstone-torch-subsystem-conformance-cycle	4e566a6a43d01eddd3b108b5b0bf777516a930c5ca4613b4f638922b9bc90ce1	PUBLIC_TESTKIT
