claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
white-wool-state-domain	ARCHETYPE	b1.7.3:block/035	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
white-wool-collision-shape	ARCHETYPE	b1.7.3:block/035	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
white-wool-light-behavior	ARCHETYPE	b1.7.3:block/035	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
double-slab-state-domain	ARCHETYPE	b1.7.3:block/043	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
double-slab-collision-shape	ARCHETYPE	b1.7.3:block/043	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
double-slab-light-behavior	ARCHETYPE	b1.7.3:block/043	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
sand-state-domain	ARCHETYPE	b1.7.3:block/012	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
sand-collision-shape	ARCHETYPE	b1.7.3:block/012	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
sand-light-behavior	ARCHETYPE	b1.7.3:block/012	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
gravel-state-domain	ARCHETYPE	b1.7.3:block/013	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
gravel-collision-shape	ARCHETYPE	b1.7.3:block/013	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
gravel-light-behavior	ARCHETYPE	b1.7.3:block/013	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-remaining-opaque-cube-physical-envelope-cycle	c56ec6bbc4c1db434a1183756273cd95d814d8ebaa229e277ae25b442f644b51	PUBLIC_TESTKIT
