claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
repeater-off-state-domain	ARCHETYPE	b1.7.3:block/093	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-off-collision-shape	ARCHETYPE	b1.7.3:block/093	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-off-light-behavior	ARCHETYPE	b1.7.3:block/093	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-off-tick-policy	ARCHETYPE	b1.7.3:block/093	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-off-neighbor-response	ARCHETYPE	b1.7.3:block/093	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-state-domain	ARCHETYPE	b1.7.3:block/094	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-gameplay-placement	UNIVERSAL	b1.7.3:block/094	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-break-transition	UNIVERSAL	b1.7.3:block/094	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-drop-matrix	ARCHETYPE	b1.7.3:block/094	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-save-reload	UNIVERSAL	b1.7.3:block/094	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-collision-shape	ARCHETYPE	b1.7.3:block/094	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-light-behavior	ARCHETYPE	b1.7.3:block/094	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-tick-policy	ARCHETYPE	b1.7.3:block/094	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
repeater-on-neighbor-response	ARCHETYPE	b1.7.3:block/094	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-repeater-subsystem-conformance-cycle	2b4d6f69cc7311f905e24eb766b78f1567cf9da3ddd4a390486624d6ee10870a	PUBLIC_TESTKIT
