claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
standing-sign-state-domain	ARCHETYPE	b1.7.3:block/063	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-gameplay-placement	UNIVERSAL	b1.7.3:block/063	gameplay-placement	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-break-transition	UNIVERSAL	b1.7.3:block/063	break-transition	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-drop-matrix	ARCHETYPE	b1.7.3:block/063	drop-matrix	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-save-reload	UNIVERSAL	b1.7.3:block/063	save-reload	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-collision-shape	ARCHETYPE	b1.7.3:block/063	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-light-behavior	UNIVERSAL	b1.7.3:block/063	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-tick-policy	ARCHETYPE	b1.7.3:block/063	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
standing-sign-neighbor-response	ARCHETYPE	b1.7.3:block/063	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
wall-sign-collision-shape	ARCHETYPE	b1.7.3:block/068	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
wall-sign-light-behavior	UNIVERSAL	b1.7.3:block/068	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
wall-sign-tick-policy	ARCHETYPE	b1.7.3:block/068	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
wall-sign-neighbor-response	ARCHETYPE	b1.7.3:block/068	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-sign-subsystem-lifecycle-cycle	1a6ccdee8901506c433e50ef0b630fadb7f65ba0e3704686cbd19a85cb0e27a9	PUBLIC_TESTKIT
