claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
cobweb-state-domain	ARCHETYPE	b1.7.3:block/030	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
cobweb-collision-shape	ARCHETYPE	b1.7.3:block/030	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
cobweb-light-behavior	ARCHETYPE	b1.7.3:block/030	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
snow-layer-state-domain	ARCHETYPE	b1.7.3:block/078	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
snow-layer-collision-shape	ARCHETYPE	b1.7.3:block/078	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
snow-layer-light-behavior	ARCHETYPE	b1.7.3:block/078	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
cactus-state-domain	ARCHETYPE	b1.7.3:block/081	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
cactus-collision-shape	ARCHETYPE	b1.7.3:block/081	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
cactus-light-behavior	ARCHETYPE	b1.7.3:block/081	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
soul-sand-state-domain	ARCHETYPE	b1.7.3:block/088	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
soul-sand-collision-shape	ARCHETYPE	b1.7.3:block/088	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
soul-sand-light-behavior	ARCHETYPE	b1.7.3:block/088	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-special-collision-physical-envelope-cycle	af7d27ecf0fe74412eb4107a31313459adc913fcedf1c63506f6df5db1b0fd2b	PUBLIC_TESTKIT
