claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
stone-tick-policy	ARCHETYPE	b1.7.3:block/001	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
stone-neighbor-response	ARCHETYPE	b1.7.3:block/001	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
dirt-tick-policy	ARCHETYPE	b1.7.3:block/003	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
dirt-neighbor-response	ARCHETYPE	b1.7.3:block/003	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
wood-planks-tick-policy	ARCHETYPE	b1.7.3:block/005	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
wood-planks-neighbor-response	ARCHETYPE	b1.7.3:block/005	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
sandstone-tick-policy	ARCHETYPE	b1.7.3:block/024	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
sandstone-neighbor-response	ARCHETYPE	b1.7.3:block/024	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
white-wool-tick-policy	ARCHETYPE	b1.7.3:block/035	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
white-wool-neighbor-response	ARCHETYPE	b1.7.3:block/035	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
bookshelf-tick-policy	ARCHETYPE	b1.7.3:block/047	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
bookshelf-neighbor-response	ARCHETYPE	b1.7.3:block/047	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
crafting-table-tick-policy	ARCHETYPE	b1.7.3:block/058	tick-policy	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
crafting-table-neighbor-response	ARCHETYPE	b1.7.3:block/058	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
snow-block-tick-policy	ARCHETYPE	b1.7.3:block/080	tick-policy	APPLICABLE	PARTIAL	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
snow-block-neighbor-response	ARCHETYPE	b1.7.3:block/080	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-terrain-crafted-solid-stability-envelope-cycle	96b4832d7aad487642ff290b7858f4385b0b54b76755a9878c49bda4182ef467	PUBLIC_TESTKIT
