claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
dispenser-state-domain	SINGULAR	b1.7.3:block/023	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
dispenser-collision-shape	SINGULAR	b1.7.3:block/023	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
dispenser-light-behavior	SINGULAR	b1.7.3:block/023	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
note-block-state-domain	SINGULAR	b1.7.3:block/025	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
note-block-collision-shape	SINGULAR	b1.7.3:block/025	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
note-block-light-behavior	SINGULAR	b1.7.3:block/025	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
mob-spawner-state-domain	SINGULAR	b1.7.3:block/052	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
mob-spawner-collision-shape	SINGULAR	b1.7.3:block/052	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
mob-spawner-light-behavior	SINGULAR	b1.7.3:block/052	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
chest-state-domain	SINGULAR	b1.7.3:block/054	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
chest-collision-shape	SINGULAR	b1.7.3:block/054	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
chest-light-behavior	SINGULAR	b1.7.3:block/054	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
furnace-state-domain	SINGULAR	b1.7.3:block/061	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
furnace-collision-shape	SINGULAR	b1.7.3:block/061	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
furnace-light-behavior	SINGULAR	b1.7.3:block/061	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
jukebox-collision-shape	SINGULAR	b1.7.3:block/084	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
jukebox-light-behavior	SINGULAR	b1.7.3:block/084	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-tile-utility-physical-envelope-cycle	c95f251773ad35abcdb5d991515f7e57cfd74dda445f328a7767ef6b701cd36c	PUBLIC_TESTKIT
