claim_id	layer	subject_id	template_id	applicability	status	oracle	evidence_id	signature	automation_surface
grass-state-domain	ARCHETYPE	b1.7.3:block/002	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
grass-collision-shape	ARCHETYPE	b1.7.3:block/002	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
grass-light-behavior	ARCHETYPE	b1.7.3:block/002	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
grass-neighbor-response	ARCHETYPE	b1.7.3:block/002	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
sapling-state-domain	ARCHETYPE	b1.7.3:block/006	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
sapling-collision-shape	ARCHETYPE	b1.7.3:block/006	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
sapling-light-behavior	ARCHETYPE	b1.7.3:block/006	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
sapling-neighbor-response	ARCHETYPE	b1.7.3:block/006	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
leaves-state-domain	ARCHETYPE	b1.7.3:block/018	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
leaves-collision-shape	ARCHETYPE	b1.7.3:block/018	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
leaves-neighbor-response	ARCHETYPE	b1.7.3:block/018	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
tall-grass-state-domain	ARCHETYPE	b1.7.3:block/031	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
crops-state-domain	ARCHETYPE	b1.7.3:block/059	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
crops-collision-shape	ARCHETYPE	b1.7.3:block/059	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
crops-light-behavior	ARCHETYPE	b1.7.3:block/059	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
crops-neighbor-response	ARCHETYPE	b1.7.3:block/059	neighbor-response	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
sugar-cane-state-domain	ARCHETYPE	b1.7.3:block/083	state-domain	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
sugar-cane-collision-shape	ARCHETYPE	b1.7.3:block/083	collision-shape	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
sugar-cane-light-behavior	ARCHETYPE	b1.7.3:block/083	light-behavior	APPLICABLE	VERIFIED	OFFICIAL_SERVER	b173-vegetation-ecology-subsystem-conformance-cycle	ba9cade29f551f43834d9727c839183fe61dd288fef93e0ef1b4b5caab1f7913	PUBLIC_TESTKIT
