subject_id	legacy_id	name	metadata	render_type
b1.7.3:block/001	1	stone	0	0
b1.7.3:block/002	2	grass	0	0
b1.7.3:block/003	3	dirt	0	0
b1.7.3:block/004	4	cobblestone	0	0
b1.7.3:block/005	5	wood-planks	0	0
b1.7.3:block/007	7	bedrock	0	0
b1.7.3:block/012	12	sand	0	0
b1.7.3:block/013	13	gravel	0	0
b1.7.3:block/014	14	gold-ore	0	0
b1.7.3:block/015	15	iron-ore	0	0
b1.7.3:block/016	16	coal-ore	0	0
b1.7.3:block/017	17	log	0	0
b1.7.3:block/018	18	leaves	0	0
b1.7.3:block/019	19	sponge	0	0
b1.7.3:block/020	20	glass	0	0
b1.7.3:block/021	21	lapis-ore	0	0
b1.7.3:block/022	22	lapis-block	0	0
b1.7.3:block/023	23	dispenser	0	0
b1.7.3:block/024	24	sandstone	0	0
b1.7.3:block/025	25	note-block	0	0
b1.7.3:block/029	29	sticky-piston	0	16
b1.7.3:block/033	33	piston	0	16
b1.7.3:block/035	35	wool	0	0
b1.7.3:block/041	41	gold-block	0	0
b1.7.3:block/042	42	iron-block	0	0
b1.7.3:block/043	43	double-slab	0	0
b1.7.3:block/044	44	slab	0	0
b1.7.3:block/045	45	bricks	0	0
b1.7.3:block/046	46	tnt	0	0
b1.7.3:block/047	47	bookshelf	0	0
b1.7.3:block/048	48	mossy-cobblestone	0	0
b1.7.3:block/049	49	obsidian	0	0
b1.7.3:block/052	52	mob-spawner	0	0
b1.7.3:block/053	53	wood-stairs	0	10
b1.7.3:block/054	54	chest	0	0
b1.7.3:block/056	56	diamond-ore	0	0
b1.7.3:block/057	57	diamond-block	0	0
b1.7.3:block/058	58	crafting-table	0	0
b1.7.3:block/060	60	farmland	0	0
b1.7.3:block/061	61	furnace	0	0
b1.7.3:block/062	62	lit-furnace	0	0
b1.7.3:block/067	67	cobblestone-stairs	0	10
b1.7.3:block/070	70	stone-pressure-plate	0	0
b1.7.3:block/072	72	wooden-pressure-plate	0	0
b1.7.3:block/073	73	redstone-ore	0	0
b1.7.3:block/074	74	glowing-redstone-ore	0	0
b1.7.3:block/077	77	stone-button	0	0
b1.7.3:block/078	78	snow-layer	0	0
b1.7.3:block/079	79	ice	0	0
b1.7.3:block/080	80	snow-block	0	0
b1.7.3:block/081	81	cactus	0	13
b1.7.3:block/082	82	clay	0	0
b1.7.3:block/084	84	jukebox	0	0
b1.7.3:block/085	85	fence	0	11
b1.7.3:block/086	86	pumpkin	0	0
b1.7.3:block/087	87	netherrack	0	0
b1.7.3:block/088	88	soul-sand	0	0
b1.7.3:block/089	89	glowstone	0	0
b1.7.3:block/090	90	portal	0	0
b1.7.3:block/091	91	jack-o-lantern	0	0
b1.7.3:block/092	92	cake	0	0
b1.7.3:block/095	95	locked-chest	0	0
b1.7.3:block/096	96	trapdoor	0	0
